Company,Job Title,Employement Level,Review Title,Pros,Cons,Rating
eBay,Consultant,0,good company,"the people and the company culture is warm. lots of opportunities to learn and grow in your field. love working here. :) plus, ebay offers a great work-life balance as well.","the company is very old fashioned and the projects take a long time and are processed in a less dynamic manner. however, other than that, it is a great company to be at.",5
eBay,Authentication Center Generalist,0,a step in the wrong direction,"since ebay's acquisition of my employer, tcgplayer, a lot has changed, but there are still things about my job that i enjoy. i have many years of experience specializing in many different parts of the work we do, and enjoy the ability to do work i excel at, that adds a lot of value. additionally, i have a lot of great coworkers that make the work environment fun and enjoyable to spend 40 hours a week at.","regrettably, ebay has made a mess of their acquisition of tcgplayer in many ways. for a large company with a long history of purchasing other companies, the transition from to ebay's systems, pay structure, and benefits were very poor, despite having a dedicated transition team meant to facilitate these processes. additionally, ebay was eager to continue tcgplayer's stance of poor cooperation with their democratically elected union, from running a highly aggressive anti-union campaign during the union election process, to delaying the bargaining processes with baseless legal appeals. beyond this, our pay has been stagnant for the last 3 years, does not account for the cost of living or rising inflation. additionally, we have seen a reduction in available paid time off since the ebay acquisition.",2
eBay,Software Development Engineer (SDE),0,good,good company to work with,cafeteria need to have more choice,5
eBay,Strategic Account Manager,1,good environment,"great culture, good benefits, good options for employee stock purchase, potential for greatness in the market","slow, risk adverse, reinvention in progress",4
eBay,Manager,1,manager,good benefits with good environment,nothing really much to say,4
eBay,Mobile Engineer,0,mobile engineer,"nice team, work culture, coordination",mobile hub in portland only,5
eBay,Sr MTS,0,good company and treat its staff well but its business is being challenged by new competitors,"work-life balance
embrace leading technologies very quickly 
competitive salary",no long term vision in most of upper management,4
eBay,Software Engineer ( Senior MTS),0,use to be good,"good work life balance before, and good teammates!",keep away from coreai leadership and you would appreciate me later,2
eBay,Business Process Analyst,0,great tech job,"-solid benefits
-culture focused on people
-significant development opportunities","-history of inconsistent long-term decision making
-instability with org structure (frequent changes in lines of reporting, sometimes resulting in changes to direct leader)
-tendency to hire upper management externally, leading to friction in company culture norms",5
eBay,Customer Service Representative,0,good job,flexible time off and decent training,strict customer service standards to meet.,3
